"fitted","normalized_residual","dataset_id","condition","model"
0.0376486991230931,-0.371047483379698,"D015","C2","logistic_regression"
0.0343847377332017,-0.0295292807630609,"D015","C2","logistic_regression"
0.0224267156473255,-0.399036917538053,"D015","C3","logistic_regression"
0.0213538145505977,-0.0583483829806843,"D015","C3","logistic_regression"
0.0344727305026332,0.228053140411405,"D015","C4","logistic_regression"
0.0294103263957509,-0.577958226336105,"D015","C4","logistic_regression"
0.106500659524087,0.669937072130095,"D015","C5","logistic_regression"
0.10889059817487,1.21268555623424,"D015","C5","logistic_regression"
0.0340731332303739,-1.24280293409887,"D015","C2","random_forest"
0.0308091718404825,-0.774930730041196,"D015","C2","random_forest"
0.0169277156714306,-1.04287652437414,"D015","C3","random_forest"
0.0158548145747027,-0.834603243314937,"D015","C3","random_forest"
0.0249734781467331,0.317393836016546,"D015","C4","random_forest"
0.0199110740398508,-1.74010657966304,"D015","C4","random_forest"
0.1455688006402,3.67002610123223,"D015","C5","random_forest"
0.147958739290983,4.86874338108619,"D015","C5","random_forest"
0.0338549465786625,2.76176901248097,"D016","C2","gradient_boosted_trees"
0.0305996374622648,0.389885049340653,"D016","C2","gradient_boosted_trees"
0.0100689259018488,0.882064217828754,"D016","C3","gradient_boosted_trees"
0.00899886890546771,-0.58523701552671,"D016","C3","gradient_boosted_trees"
0.0218082097390904,2.47237589507629,"D016","C4","gradient_boosted_trees"
0.0167592253083736,-0.125248345537501,"D016","C4","gradient_boosted_trees"
0.112148095240964,3.91640775233362,"D016","C5","gradient_boosted_trees"
0.114531698521818,-1.33376251673385,"D016","C5","gradient_boosted_trees"
0.0307838979050582,0.173493770784144,"D016","C2","logistic_regression"
0.0275285887886606,-0.866259967130163,"D016","C2","logistic_regression"
0.012899194212569,0.630413180837896,"D016","C3","logistic_regression"
0.0118291372161878,-0.441761263495365,"D016","C3","logistic_regression"
0.0274535501463909,0.726355421305542,"D016","C4","logistic_regression"
0.022404565715674,-1.14707264681846,"D016","C4","logistic_regression"
0.0619505786853746,-0.60028760530689,"D016","C5","logistic_regression"
0.0643341819662284,-1.74907287402679,"D016","C5","logistic_regression"
0.027208332012339,-0.173502343982421,"D016","C2","random_forest"
0.0239530228959414,-0.559767571873653,"D016","C2","random_forest"
0.00740019423667404,-0.799131091740871,"D016","C3","random_forest"
0.0063301372402929,-0.301607594367783,"D016","C3","random_forest"
