dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D003,ILPD Indian Liver Patient,logistic_regression,C2,0.0030085039919423,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C2,0.0068597841566319,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C3,0.0205757699495763,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C3,0.0021897659131148,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C3,0.0019914763655715,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C4,0.0421578890355267,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C4,0.012356905492954,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C4,0.0049056087420075,1.0,583,10,167,4,583.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.017152658662092625,6.368187186350492,-4.065602093356446,0.45138035413356487,-0.8387077792621047,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C5,0.0498559792881988,0.5,583,10,167,4,293.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.034129692832764506,5.680172609017068,-3.3775875160230218,-0.8087717354513566,-0.021844825315251296,-0.19729221387688184,-0.5794896424076861
D003,ILPD Indian Liver Patient,logistic_regression,C5,0.0098289877082885,0.75,583,10,167,4,439.0,Dataset 03,0.2864493996569468,0.0006861063464837049,0.022779043280182234,6.0844994130751715,-3.7819143200811256,-0.06821581731403907,-0.5018921940830409,-0.19729221387688184,-0.5794896424076861
